Strategy,Accuracy,Precision,Recall,F1-Score
AAPL,0.5081967213114754,0.5555555555555556,0.5882352941176471,0.5714285714285714
ABBV,0.4918032786885246,0.6296296296296297,0.4473684210526316,0.5230769230769231
ABT,0.5081967213114754,0.5098039215686274,0.8387096774193549,0.6341463414634146
AEP,0.6065573770491803,0.6086956521739131,0.8235294117647058,0.7
AMD,0.5081967213114754,0.48214285714285715,0.9642857142857143,0.6428571428571429
AMT,0.5901639344262295,0.6111111111111112,0.3793103448275862,0.46808510638297873
AMZN,0.5901639344262295,0.5849056603773585,0.9117647058823529,0.7126436781609196
APD,0.5245901639344263,0.5245901639344263,1.0,0.6881720430107527
AVGO,0.6885245901639344,0.6896551724137931,0.975609756097561,0.8080808080808081
AXP,0.5245901639344263,0.5862068965517241,0.5,0.5396825396825397
BA,0.45901639344262296,0.45901639344262296,1.0,0.6292134831460674
BAC,0.5573770491803278,0.559322033898305,0.9705882352941176,0.7096774193548387
C,0.4426229508196721,0.4426229508196721,1.0,0.6136363636363636
CBRE,0.5573770491803278,0.5882352941176471,0.8333333333333334,0.6896551724137931
CCI,0.5409836065573771,0.5,0.5,0.5
CMCSA,0.5901639344262295,0.6842105263157895,0.40625,0.5098039215686274
COP,0.47540983606557374,0.25,0.03333333333333333,0.058823529411764705
CSCO,0.5245901639344263,0.5625,0.2903225806451613,0.3829787234042553
CTVA,0.6065573770491803,0.6101694915254238,0.972972972972973,0.75
CVX,0.5081967213114754,0.0,0.0,0.0
D,0.5737704918032787,0.65,0.40625,0.5
DE,0.5901639344262295,0.5675675675675675,0.7,0.6268656716417911
DHR,0.5245901639344263,0.5245901639344263,1.0,0.6881720430107527
DLR,0.5737704918032787,0.6176470588235294,0.6176470588235294,0.6176470588235294
DUK,0.6065573770491803,0.6153846153846154,0.7272727272727273,0.6666666666666666
ECL,0.5573770491803278,0.5384615384615384,0.4827586206896552,0.509090909090909
EQIX,0.5573770491803278,0.6176470588235294,0.6,0.6086956521739131
ETN,0.5737704918032787,0.6153846153846154,0.6857142857142857,0.6486486486486487
ETR,0.5737704918032787,0.5777777777777777,0.7878787878787878,0.6666666666666666
EXC,0.5245901639344263,0.5254237288135594,0.96875,0.6813186813186813
FCX,0.5737704918032787,0.5609756097560976,0.7419354838709677,0.6388888888888888
GE,0.39344262295081966,0.375,0.08571428571428572,0.13953488372093023
GILD,0.47540983606557374,0.3,0.10714285714285714,0.15789473684210525
GOOG,0.4918032786885246,0.6428571428571429,0.2571428571428571,0.3673469387755102
GS,0.6065573770491803,0.6388888888888888,0.6764705882352942,0.6571428571428571
HON,0.639344262295082,0.6,0.5555555555555556,0.5769230769230769
JNJ,0.5245901639344263,0.5333333333333333,0.26666666666666666,0.35555555555555557
JPM,0.5245901639344263,0.5853658536585366,0.6666666666666666,0.6233766233766234
KO,0.5901639344262295,0.6222222222222222,0.7777777777777778,0.691358024691358
LLY,0.5737704918032787,0.5964912280701754,0.918918918918919,0.723404255319149
LMT,0.45901639344262296,0.4,0.5384615384615384,0.45901639344262296
LOW,0.6065573770491803,0.5945945945945946,0.7096774193548387,0.6470588235294118
MCD,0.6721311475409836,0.5833333333333334,0.8076923076923077,0.6774193548387096
MO,0.45901639344262296,0.3333333333333333,0.03125,0.05714285714285714
MPC,0.5081967213114754,0.5945945945945946,0.5945945945945946,0.5945945945945946
MS,0.6229508196721312,0.65,0.7428571428571429,0.6933333333333334
MSFT,0.5901639344262295,0.6,0.7272727272727273,0.6575342465753424
MU,0.5409836065573771,0.5306122448979592,0.8387096774193549,0.65
NFLX,0.4918032786885246,0.5625,0.7297297297297297,0.6352941176470588
O,0.6065573770491803,0.5510204081632653,0.9310344827586207,0.6923076923076923
ORCL,0.4262295081967213,0.4838709677419355,0.4411764705882353,0.46153846153846156
PDD,0.45901639344262296,0.4666666666666667,0.9655172413793104,0.6292134831460674
PEP,0.6885245901639344,0.6176470588235294,0.7777777777777778,0.6885245901639344
PG,0.639344262295082,0.6122448979591837,0.9090909090909091,0.7317073170731707
PLD,0.4918032786885246,0.5,0.6451612903225806,0.5633802816901409
PM,0.4262295081967213,0.4375,0.21212121212121213,0.2857142857142857
PSX,0.5245901639344263,0.0,0.0,0.0
RTX,0.5737704918032787,0.5652173913043478,0.4482758620689655,0.5
SHW,0.6065573770491803,0.5918367346938775,0.8787878787878788,0.7073170731707317
SO,0.639344262295082,0.62,0.9117647058823529,0.7380952380952381
T,0.47540983606557374,0.4827586206896552,0.45161290322580644,0.4666666666666667
TJX,0.5901639344262295,0.7916666666666666,0.48717948717948717,0.6031746031746031
TMUS,0.6065573770491803,0.6363636363636364,0.8974358974358975,0.7446808510638298
TSLA,0.5901639344262295,0.58,0.8787878787878788,0.6987951807228916
UNH,0.6229508196721312,0.5510204081632653,0.9642857142857143,0.7012987012987013
UNP,0.6065573770491803,0.6,0.3333333333333333,0.42857142857142855
V,0.5901639344262295,0.6,0.7272727272727273,0.6575342465753424
VLO,0.47540983606557374,0.5,0.03125,0.058823529411764705
VMC,0.6557377049180327,0.6756756756756757,0.7352941176470589,0.704225352112676
VST,0.3442622950819672,0.4375,0.18421052631578946,0.25925925925925924
VTR,0.6557377049180327,0.7,0.7567567567567568,0.7272727272727273
VZ,0.47540983606557374,0.4,0.56,0.4666666666666667
WFC,0.5409836065573771,0.5483870967741935,0.5483870967741935,0.5483870967741935
WMB,0.6065573770491803,0.6896551724137931,0.5714285714285714,0.625
WMT,0.7213114754098361,0.7169811320754716,0.95,0.8172043010752689
XOM,0.4918032786885246,0.6666666666666666,0.0625,0.11428571428571428
