Energy,XOM,CVX,COP,WMB,EPD,MPC,ET,MPLX,PSX,VLO
Materials,LIN,SCCO,SHW,ECL,CRH,FCX,APD,CTVA,AU,VMC
Industrial,GE,CAT,RTX,GEV,BA,UNP,ETN,DE,HON,LMT
Consumer discretionary,AMZN,TSLA,BABA,HD,TM,MCD,PDD,TJX,BKNG,LOW
Consumer staples,WMT,COST,PG,KO,PM,PEP,UL,BTI,BUD,MO
Health care,LLY,JNJ,ABBV,UNH,MRK,ABT,ISRG,AMGN,DHR,GILD
Financials,JPM,V,BAC,GS,MS,WFC,C,AXP,RY
Information technology,AAPL,MSFT,GOOG,AVGO,TSMC,ORCL,PLTR,AMD,CSCO,MU
Communication,GOOG,META,NFLX,TMUS,DIS,APP,T,VZ,SPOT,CMCSA
Utilities,CEG,SO,DUK,AEP,VST,SRE,D,XEL,EXC,ETR
Real estate,PLD,AMT,EQIX,SPG,DLR,O,PSA,CBRE,CCI,VTR
