Energy,XOM,CVX,COP,WMB,EPD,KMI,EOG,MPC,ET,MPLX
Materials,LIN,SCCO,NEM,SHW,ECL,CRH,FCX,APD,CTVA,AU
Industrial,GE,CAT,RTX,GEV,BA,UNP,ETN,DE,HON,LMT
Consumer discretionary,AMZN,TSLA,BABA,HD,TM,MCD,PDD,TJX,BKNG,LOW
Consumer staples,WMT,COST,PG,KO,PM,PEP,MO,MDLZ,MNST,CL
Health care,LLy,JNJ,ABBV,UNH,MRK,ABT,TMO,ISRG,AMGN,DHR
Financials,JPM,V,BAC,GS MS,WFC,C,AXP,RY
Information technology,NVDA,AAPL,MSFT,AVGO,ORCL,PLTR,AMD,CSCO,IBM,MU
Communication,GOOG,META,NFLX,TMUS,DIS,APP,T,VZ,SPOT,CMCSA
Utilities,NEE,CEG,SO,DUK,AEP,VST,SRE,D,XEL,EXC
Real estate,WELL,PLD,AMT,EQIX,SPG,DLR,O,PSA,CBRE,CCI
